player_id,name,side,position_type,position_bucket,tag,age_baseline,age_bucket,pa_baseline,ip_baseline,baseline_war,war_bucket,causal_war,implied_delta_war,followup_war,actual_delta_war,followup_era,followup_ops,rank_diff,hit,basis
622250,Josh Sborz,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,29.0,29-32,250.0,52.333333333333336,-0.66,"[-1,0]",0.65,1.31,-0.01,0.65,3.859999895095825,,388,True,war_delta
519293,Will Smith,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,33.0,33+,238.0,57.333333333333336,0.04,"[0,1]",0.87,0.83,-0.91,-0.9500000000000001,6.53000020980835,,293,False,war_delta
519151,Ryan Pressly,buy_low,pitcher,RP,OTHER,34.0,33+,283.0,65.33333333333333,0.15,"[0,1]",1.02,0.87,0.4,0.25,3.9200000762939453,,289,True,war_delta
607481,Aaron Bummer,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,29.0,29-32,260.0,58.333333333333336,-0.99,"[-1,0]",0.08,1.07,0.56,1.55,3.4100000858306885,,279,True,war_delta
663158,Robert Suarez,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,32.0,29-32,105.0,27.666666666666668,0.03,"[0,1]",0.73,0.7,2.05,2.02,2.630000114440918,,277,True,war_delta
642397,Gregory Soto,buy_low,pitcher,RP,OTHER,28.0,25-28,260.0,60.333333333333336,0.03,"[0,1]",0.65,0.62,0.28,0.25,4.360000133514404,,260,True,war_delta
691023,Jordan Walker,buy_low,batter,OF,GENUINE EDGE?,21.0,<25,459.0,,-0.11,"[-1,0]",0.85,0.96,-0.83,-0.72,,0.6190000176429749,252,False,war_delta
605130,Scott Barlow,buy_low,pitcher,RP,OTHER,30.0,29-32,294.0,68.0,-0.09,"[-1,0]",0.4,0.49,0.18,0.27,4.25,,250,True,war_delta
664062,Tony Gonsolin,buy_low,pitcher,SP,OTHER,29.0,29-32,432.0,103.0,-0.22,"[-1,0]",0.29,0.51,,,,,244,,no_2026_record
656941,Kyle Schwarber,buy_low,batter,OF,GENUINE EDGE?,30.0,29-32,764.0,,0.66,"[0,1]",2.32,1.6599999999999997,3.29,2.63,,0.8429999947547913,229,True,war_delta
523260,Joe Kelly,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,35.0,33+,175.0,39.333333333333336,-0.06,"[-1,0]",0.33,0.39,-0.38,-0.32,4.78000020980835,,222,False,war_delta
543859,Michael Tonkin,buy_low,pitcher,RP,OTHER,33.0,33+,326.0,80.0,0.27,"[0,1]",0.73,0.45999999999999996,-0.15999999999999992,-0.42999999999999994,3.630000114440918,,218,False,war_delta
