player_id,causal_war,point_estimate_per_pa,pa,trad_war,pa_total,position,ip_total,name,baseline_year,_rank_group,adjusted_war_v3,proj_woba,rank_trad,rank_model,rank_diff,hit,basis
662139,-1.09,-0.0236,576,3.59,581.0,batter,,Daulton Varsho,2023,batter,-0.8072809626408304,0.3228175881606432,52,443,-391,False,war_delta
683011,-1.28,-0.0268,597,3.25,601.0,batter,,Anthony Volpe,2023,batter,-0.6968058716118326,0.318234297434808,74,430,-356,False,war_delta
678662,-0.69,-0.0144,602,2.48,615.0,batter,,Ezequiel Tovar,2023,batter,-1.1159220795283713,0.32688496856784166,106,457,-351,False,war_delta
665750,-0.44,-0.0089,613,2.94,554.0,batter,,Leody Taveras,2023,batter,-0.6796753328435544,0.3144124663374971,81,428,-347,True,war_delta
682928,-0.28,-0.0058,605,3.45,614.0,batter,,CJ Abrams,2023,batter,-0.5594969516888905,0.32164605709353344,61,406,-345,True,war_delta
657077,0.28,0.0058,594,2.72,602.0,batter,,Alex Verdugo,2023,batter,-0.6728928285721203,0.3357259883975642,94,427,-333,True,war_delta
641680,-0.25,-0.0055,561,3.09,501.0,batter,,Jonah Heim,2023,batter,-0.487901893149351,0.3138815824213495,79,390,-311,True,war_delta
656775,-0.75,-0.0206,457,2.78,455.0,batter,,Cedric Mullins,2023,batter,-0.5403747412726403,0.33319702071361124,92,401,-309,True,war_delta
669242,-0.55,-0.0133,517,2.07,528.0,batter,,Tommy Edman,2023,batter,-0.6567710684503875,0.3196369037486401,133,424,-291,True,war_delta
641857,0.64,0.0131,616,2.94,627.0,batter,,Ryan McMahon,2023,batter,-0.4059782324996634,0.3342958777827307,81,367,-286,True,war_delta
668930,-2.06,-0.058,444,1.51,448.0,batter,,Brice Turang,2023,batter,-1.2102953922396429,0.29847795979516695,177,458,-281,False,war_delta
670764,-1.04,-0.037,353,1.97,349.0,batter,,Taylor Walls,2023,batter,-0.5691779307681779,0.2905950513053897,145,407,-262,True,war_delta
664728,-0.96,-0.0389,309,2.01,313.0,batter,,Kyle Isbel,2023,batter,-0.5537423374909628,0.2998263311104343,141,403,-262,True,war_delta
681082,0.47,0.0086,684,4.32,640.0,batter,,Bryson Stott,2023,batter,-0.23192557893557736,0.32370283253343196,34,290,-256,True,war_delta
657136,-0.79,-0.0249,397,2.18,403.0,batter,,Connor Wong,2023,batter,-0.44168821226374055,0.31348838303601856,124,375,-251,True,war_delta
656716,-1.07,-0.0262,510,1.33,518.0,batter,,Zach McKinstry,2023,batter,-0.7927067905727905,0.30472143405922786,192,441,-249,True,war_delta
660688,-0.66,-0.0148,555,1.39,562.0,batter,,Keibert Ruiz,2023,batter,-0.7203717820605278,0.3229251056502486,187,433,-246,True,war_delta
500743,-1.17,-0.035,419,1.36,423.0,batter,,Miguel Rojas,2023,batter,-0.7259451478627155,0.29716278954887926,190,434,-244,False,war_delta
686668,-1.93,-0.0565,426,0.84,431.0,batter,,Brenton Doyle,2023,batter,-1.4556360719623447,0.2957609597156407,227,460,-233,False,war_delta
624428,-0.81,-0.0224,450,1.7,455.0,batter,,Adam Frazier,2023,batter,-0.5126192149481067,0.3074683637401125,164,394,-230,True,war_delta
663757,-0.58,-0.0134,542,1.8,555.0,batter,,Trent Grisham,2023,batter,-0.4757577442757822,0.3131356954280007,158,387,-229,True,war_delta
664702,-1.79,-0.0447,500,0.93,518.0,batter,,Myles Straw,2023,batter,-0.8744082001952085,0.2926630521746531,221,449,-228,True,war_delta
669743,-0.96,-0.0277,432,1.03,439.0,batter,,Alex Call,2023,batter,-0.753384620754032,0.3104503286258834,213,438,-225,False,war_delta
595879,-1.97,-0.0458,539,0.79,547.0,batter,,Javier Báez,2023,batter,-1.3139672409936902,0.3106040587887687,235,459,-224,True,war_delta
621020,0.22,0.0044,632,5.15,638.0,batter,,Dansby Swanson,2023,batter,-0.15710090121355774,0.3305765485219885,21,240,-219,True,war_delta
