player_id,position_type,war_agg,vol_agg,causal_war,point_estimate_per_pa,pa,war_f,name,_rank_group,adjusted_war_v3,rank_trad,rank_model,rank_diff,hit,basis
680686,pitcher,3.62,307.66666666666663,-1.35,-0.0125,1342,-0.54,Josiah Gray,pitcher,-1.4807491982854022,87,577,-490,True,war_agg_half
425844,pitcher,3.59,279.33333333333337,-0.77,-0.0083,1151,,Zack Greinke,pitcher,-1.10973123703022,88,555,-467,,exit_no_followup_row
678394,pitcher,3.49,214.33333333333334,-1.58,-0.0212,932,1.18,Brayan Bello,pitcher,-1.03744136675759,92,550,-458,True,war_agg_half
621112,pitcher,2.87,215.0,-0.61,-0.0082,925,0.47,Paul Blackburn,pitcher,-1.4108390518836464,116,574,-458,True,war_agg_half
608337,pitcher,2.04,346.0,-1.87,-0.0158,1485,,Lucas Giolito,pitcher,-2.456916649216727,157,593,-436,,exit_no_followup_row
607536,pitcher,3.7399999999999998,330.3333333333333,-3.61,-0.0319,1414,0.14,Kyle Freeland,pitcher,-0.7517947721734399,82,513,-431,True,war_agg_half
656629,pitcher,2.92,248.66666666666669,-0.24,-0.0028,1083,1.3800000000000001,Michael Kopech,pitcher,-0.9062581412576287,112,539,-427,True,war_agg_half
668933,pitcher,3.35,250.66666666666666,-0.89,-0.0103,1082,0.28,Graham Ashcraft,pitcher,-0.8012638054140423,98,520,-422,True,war_agg_half
670764,batter,4.5,815.0,-4.12,-0.0627,821,1.42,Taylor Walls,batter,-2.2957884066197076,106,527,-421,True,war_agg_half
676664,pitcher,3.69,242.33333333333334,-0.34,-0.0042,1019,2.25,JP Sears,pitcher,-0.7156465072573879,85,504,-419,False,war_agg_half
641540,pitcher,3.8,326.0,-0.26,-0.0023,1424,-0.79,Dane Dunning,pitcher,-0.6418750033966591,81,487,-406,True,war_agg_half
664702,batter,3.64,1114.0,-5.14,-0.0574,1119,-0.12,Myles Straw,batter,-3.0074300010138644,127,532,-405,True,war_agg_half
622761,batter,4.5200000000000005,883.0,-2.75,-0.0393,875,0.79,Jorge Mateo,batter,-1.471581745375747,105,509,-404,True,war_agg_half
669242,batter,8.22,1158.0,-1.53,-0.0167,1148,0.9,Tommy Edman,batter,-0.9784755809928022,41,443,-402,True,war_agg_half
500743,batter,3.8100000000000005,930.0,-2.93,-0.0397,923,3.35,Miguel Rojas,batter,-2.078553681727371,122,522,-400,False,war_agg_half
500743,batter,3.8100000000000005,930.0,-2.93,-0.0397,923,0.03,Miguel Rojas,batter,-2.078553681727371,122,522,-400,True,war_agg_half
665152,pitcher,4.08,298.0,0.44,0.0044,1257,0.71,Dean Kremer,pitcher,-0.5198239459376308,71,463,-392,True,war_agg_half
595879,batter,3.16,1137.0,-3.15,-0.035,1123,-1.17,Javier Báez,batter,-2.1515328821136626,146,525,-379,True,war_agg_half
596001,pitcher,2.2199999999999998,198.0,-0.37,-0.0054,841,1.83,Jakob Junis,pitcher,-0.8223572385057434,151,525,-374,False,war_agg_half
621244,pitcher,1.8400000000000003,361.66666666666663,0.11,0.0009,1538,2.46,José Berríos,pitcher,-0.9765246881744367,174,544,-370,False,war_agg_half
615698,pitcher,1.78,286.0,0.61,0.0061,1244,1.77,Cal Quantrill,pitcher,-0.9634377380640429,180,543,-363,False,war_agg_half
605182,pitcher,3.95,245.66666666666669,0.59,0.0071,1049,-0.14,Mike Clevinger,pitcher,-0.44337476034730405,76,438,-362,True,war_agg_half
668881,pitcher,2.9699999999999998,237.66666666666669,-0.43,-0.0054,1008,6.03,Hunter Greene,pitcher,-0.539750162383148,111,468,-357,False,war_agg_half
663757,batter,4.48,1079.0,-2.56,-0.029,1102,0.39,Trent Grisham,batter,-1.1247871137510057,107,464,-357,True,war_agg_half
657376,pitcher,1.5299999999999998,216.66666666666666,-0.26,-0.0035,932,1.91,Clarke Schmidt,pitcher,-1.1473950022320618,208,561,-353,False,war_agg_half
