player_id,position_type,war_agg,vol_agg,causal_war,point_estimate_per_pa,pa,war_f,name,_rank_group,adjusted_war_v3,rank_trad,rank_model,rank_diff,hit,basis
656547,pitcher,-0.13,107.33333333333334,0.85,0.0234,455,0.11,Jonathan Holder,pitcher,0.2601182657149347,451,152,299,True,war_agg_half
523260,pitcher,-0.3400000000000001,117.0,0.33,0.0073,565,0.21,Joe Kelly,pitcher,0.1178381509332973,485,191,294,True,war_agg_half
451584,pitcher,-0.65,108.0,-0.56,-0.0148,475,-0.7,Wade Davis,pitcher,0.0028834339819843353,518,229,289,False,war_agg_half
642547,pitcher,-0.26,163.33333333333331,0.5,0.0089,704,0.3,Freddy Peralta,pitcher,0.07064288681628653,469,206,263,True,war_agg_half
605204,batter,0.34999999999999987,566.0,1.55,0.0347,558,0.04,J. D. Davis,batter,0.8307960052499025,359,98,261,False,war_agg_half
622259,pitcher,-0.25,70.0,0.51,0.0214,298,,Trey Wingenter,pitcher,0.06743816844095434,467,207,260,,exit_no_followup_row
621363,pitcher,0.01,51.666666666666664,0.74,0.0419,220,,Colin Poche,pitcher,0.18945623314297638,425,171,254,,exit_no_followup_row
458924,pitcher,-0.8300000000000001,42.33333333333333,-0.13,-0.0081,196,,Jonny Venters,pitcher,-0.11783147285175295,530,279,251,,exit_no_followup_row
592454,pitcher,-0.09000000000000008,84.66666666666667,0.48,0.0154,387,0.1,Tommy Kahnle,pitcher,0.09686833595269771,443,198,245,True,war_agg_half
622168,batter,-0.21999999999999997,510.0,0.07,0.0018,503,0.61,Yairo Muñoz,batter,0.09138460071829471,420,175,245,True,war_agg_half
543734,pitcher,-1.1800000000000002,55.666666666666664,-0.58,-0.0281,260,-0.09,Chris Rusin,pitcher,-0.1990832785503025,550,308,242,True,war_agg_half
643778,pitcher,0.15999999999999998,75.33333333333334,0.69,0.0274,316,0.44,Tyler Webb,pitcher,0.22957666249161698,395,157,238,True,war_agg_half
621573,batter,-1.6700000000000002,311.0,-0.79,-0.0319,309,0.0,Austin Dean,batter,-0.3434685043626792,490,258,232,True,war_agg_half
500874,batter,1.3599999999999999,963.0,2.67,0.0343,972,-0.44999999999999996,José Martínez,batter,2.3602887909541868,270,41,229,False,war_agg_half
623912,batter,0.17,446.0,0.37,0.0103,445,-0.07,Harold Ramírez,batter,0.20321667870274665,380,158,222,False,war_agg_half
445276,pitcher,0.74,134.66666666666669,1.5,0.032,584,0.35,Kenley Jansen,pitcher,0.6501941054181131,309,92,217,False,war_agg_half
608349,pitcher,0.33,55.333333333333336,0.83,0.0408,255,-0.12,Corey Knebel,pitcher,0.21155342514455033,377,161,216,False,war_agg_half
669222,batter,0.1,414.0,0.58,0.0177,407,-0.18,Nick Senzel,batter,0.10331749013477746,389,173,216,False,war_agg_half
622569,batter,-0.5700000000000001,220.0,-0.32,-0.0185,216,,Pablo Reyes,batter,-0.212430016447112,446,233,213,,exit_no_followup_row
425492,pitcher,-0.8300000000000001,52.66666666666667,-0.31,-0.0147,264,,Ryan Madson,pitcher,-0.2209614135813756,530,322,208,,exit_no_followup_row
461314,batter,0.19999999999999996,568.0,0.11,0.0025,573,0.08,Matt Kemp,batter,0.130779536987052,374,171,203,False,war_agg_half
502202,pitcher,-0.77,80.0,-0.25,-0.009,349,0.46,Brad Boxberger,pitcher,-0.2315938666261915,525,323,202,True,war_agg_half
573046,pitcher,-0.17,54.66666666666667,0.02,0.0012,221,0.26,Mike Morin,pitcher,-0.07544416695950938,460,258,202,True,war_agg_half
641627,pitcher,0.07999999999999999,71.66666666666666,0.65,0.0275,295,-0.8,Trevor Gott,pitcher,0.06627821658338207,409,208,201,False,war_agg_half
623364,pitcher,-0.15000000000000005,41.66666666666667,0.12,0.009,172,-0.13,Brad Wieck,pitcher,-0.06253446364168577,453,253,200,False,war_agg_half
