player_id,causal_war,point_estimate_per_pa,pa,trad_war,pa_total,position,ip_total,rank_causal,rank_trad,rank_diff,name,baseline_year,tag,hit,basis
622250,0.72,0.0359,250,-0.66,,pitcher,52.333333333333336,117,514,397,Josh Sborz,2023,RELIEVER LEVERAGE GAP,True,war_delta
519293,0.99,0.052,238,0.04,,pitcher,57.333333333333336,75,381,306,Will Smith,2023,RELIEVER LEVERAGE GAP,False,war_delta
519151,1.18,0.0523,283,0.15,,pitcher,65.33333333333333,59,357,298,Ryan Pressly,2023,OTHER,True,war_delta
607481,0.18,0.0086,260,-0.99,,pitcher,58.333333333333336,233,530,297,Aaron Bummer,2023,RELIEVER LEVERAGE GAP,True,war_delta
642397,0.79,0.0378,260,0.03,,pitcher,60.333333333333336,105,386,281,Gregory Soto,2023,OTHER,True,war_delta
663158,0.78,0.0931,105,0.03,,pitcher,27.666666666666668,108,386,278,Robert Suarez,2023,RELIEVER LEVERAGE GAP,True,war_delta
605130,0.53,0.0227,294,-0.09000000000000002,,pitcher,68.0,155,426,271,Scott Barlow,2023,OTHER,True,war_delta
691023,0.87,0.0237,459,-0.11,465.0,batter,,99,353,254,Jordan Walker,2023,GENUINE EDGE?,False,war_delta
656941,2.36,0.0385,764,0.66,720.0,batter,,22,252,230,Kyle Schwarber,2023,GENUINE EDGE?,True,war_delta
518397,0.21,0.0127,204,-0.23,,pitcher,48.333333333333336,224,453,229,Scott Alexander,2023,RELIEVER LEVERAGE GAP,True,war_delta
523260,0.39,0.0279,175,-0.06,,pitcher,39.333333333333336,188,416,228,Joe Kelly,2023,RELIEVER LEVERAGE GAP,False,war_delta
663558,0.13,0.0087,180,-0.32,,pitcher,42.333333333333336,244,470,226,Jovani Morán,2023,RELIEVER LEVERAGE GAP,,no_followup_record
663878,0.15,0.0107,180,-0.27,,pitcher,42.666666666666664,238,463,225,Nate Pearson,2023,RELIEVER LEVERAGE GAP,True,war_delta
622075,-0.02,-0.0014,201,-0.52,,pitcher,48.0,282,500,218,Yency Almonte,2023,RELIEVER LEVERAGE GAP,True,war_delta
543859,0.75,0.0286,326,0.27,,pitcher,80.0,113,327,214,Michael Tonkin,2023,OTHER,False,war_delta
664062,0.17,0.0048,432,-0.22,,pitcher,103.0,235,449,214,Tony Gonsolin,2023,OTHER,,no_followup_record
518617,0.69,0.0357,241,0.22999999999999998,,pitcher,56.66666666666667,124,338,214,Jake Diekman,2023,RELIEVER LEVERAGE GAP,False,war_delta
656222,-0.07,-0.0048,191,-0.65,,pitcher,42.333333333333336,300,510,210,Jalen Beeks,2023,RELIEVER LEVERAGE GAP,True,war_delta
518585,0.71,0.0326,274,0.28,,pitcher,66.0,120,326,206,Fernando Cruz,2023,OTHER,True,war_delta
592669,-0.07,-0.0016,540,-0.51,548.0,batter,,214,404,190,Hunter Renfroe,2023,GENUINE EDGE?,True,war_delta
554340,0.22,0.0097,277,-0.03,,pitcher,66.0,221,410,189,Yimi García,2023,OTHER,True,war_delta
606965,0.63,0.044,178,0.26999999999999996,,pitcher,42.33333333333333,141,330,189,Chris Devenski,2023,RELIEVER LEVERAGE GAP,False,war_delta
681911,0.15,0.0085,216,-0.09,,pitcher,49.666666666666664,238,422,184,Alex Vesia,2023,RELIEVER LEVERAGE GAP,True,war_delta
650559,-0.21,-0.0042,627,-0.68,626.0,batter,,240,422,182,Bryan De La Cruz,2023,GENUINE EDGE?,False,war_delta
661403,1.13,0.0487,291,0.65,,pitcher,72.66666666666667,63,243,180,Emmanuel Clase,2023,OTHER,True,war_delta
