player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,abs_adj
429664,Robinson Canó,batter,-2.638,-3.138,0.5,41.0,-1.49,104.0,0.5
572971,Dallas Keuchel,pitcher,-2.661,-3.161,0.5,36.0,-2.56,259.4,0.5
543351,Jay Jackson,pitcher,-2.686,-2.186,-0.5,36.0,1.08,51.5,0.5
682998,Corbin Carroll,batter,4.514,5.014,-0.5,23.0,6.51,838.0,0.5
501659,Abraham Almonte,batter,-2.498,-1.998,-0.5,35.0,-1.02,228.0,0.5
501925,Joe Smith,pitcher,-2.532,-3.032,0.5,40.0,-0.35,66.3,0.5
468504,Jhoulys Chacín,pitcher,-2.253,-2.753,0.5,36.0,-0.74,111.2,0.5
596271,Casey Lawrence,pitcher,-2.168,-2.668,0.5,36.0,-0.85,45.1,0.5
518586,Charlie Culberson,batter,-2.192,-1.692,-0.5,35.0,1.06,396.0,0.5
488771,Jason Castro,batter,-2.222,-2.722,0.5,37.0,0.43,276.0,0.5
542947,Richard Bleier,pitcher,-2.075,-2.575,0.5,37.0,1.63,138.4,0.5
605361,Nick Martini,batter,-1.852,-1.352,-0.5,34.0,-0.12,124.0,0.5
501985,Mike Minor,pitcher,-1.853,-2.353,0.5,36.0,0.23,256.2,0.5
547943,Hyun Jin Ryu,pitcher,-1.876,-2.376,0.5,37.0,2.22,248.0,0.5
489334,Craig Stammen,pitcher,-1.913,-2.413,0.5,40.0,1.41,128.3,0.5
523260,Joe Kelly,pitcher,-1.933,-2.433,0.5,36.0,0.15,127.1,0.5
594838,Philip Gosselin,batter,-1.589,-2.089,0.5,35.0,-1.33,450.0,0.5
593428,Xander Bogaerts,batter,4.04,4.54,-0.5,31.0,15.01,1950.0,0.5
592518,Manny Machado,batter,3.778,4.278,-0.5,31.0,14.47,1937.0,0.5
501571,Juan Lagares,batter,-1.574,-2.074,0.5,35.0,-1.31,389.0,0.5
642851,Austin Wynns,batter,-1.337,-0.837,-0.5,33.0,-0.25,461.0,0.5
578428,Jose Iglesias,batter,-1.338,-0.838,-0.5,34.0,0.42,978.0,0.5
544727,Jeurys Familia,pitcher,-1.232,-1.732,0.5,34.0,-1.12,115.4,0.5
657612,Tim Hill,pitcher,-1.235,-1.735,0.5,34.0,-0.91,153.5,0.5
571946,Shelby Miller,pitcher,-1.101,-0.601,-0.5,33.0,1.02,63.2,0.5
606930,Jacob Barnes,pitcher,-1.107,-1.607,0.5,34.0,-0.86,63.5,0.5
545350,Jake Marisnick,batter,-1.191,-0.691,-0.5,33.0,0.71,363.0,0.5
572020,James Paxton,pitcher,-0.878,-1.378,0.5,35.0,1.01,97.1,0.5
501303,Ehire Adrianza,batter,-0.925,-1.425,0.5,34.0,-0.3,340.0,0.5
621532,Anthony Bemboom,batter,-0.956,-1.456,0.5,34.0,-0.46,100.0,0.5
545343,Louis Head,pitcher,-0.867,-1.367,0.5,34.0,0.2,63.2,0.5
543510,James McCann,batter,-0.693,-1.193,0.5,34.0,0.12,829.0,0.5
554431,Tyler Matzek,pitcher,-0.622,-0.122,-0.5,33.0,2.19,121.4,0.5
680574,Matt McLain,batter,3.715,4.215,-0.5,24.0,3.57,403.0,0.5
664901,Danny Mendick,batter,-0.474,0.026,-0.5,30.0,-0.68,361.0,0.5
656290,Drew Carlton,pitcher,-0.474,0.026,-0.5,28.0,-0.12,31.6,0.5
613564,Jason Vosler,batter,-0.518,-0.018,-0.5,30.0,-1.2,258.0,0.5
663897,Luke Williams,batter,-0.431,0.069,-0.5,27.0,-0.4,263.0,0.5
642770,Javy Guerra,pitcher,-0.444,0.056,-0.5,28.0,0.01,40.3,0.5
605525,J. B. Wendelken,pitcher,-0.448,0.052,-0.5,31.0,-0.12,72.2,0.5
